-88.52,77.24
56.24,53.33
-63.41,97.89
58.38,-0.37
44.77,72.14
42.01,58.56
55.05,-38.01
70.2,-16.3
99.95,-14.37
33.59,3.75
31.25,-11.59
-83.38,-57.09
-52.89,0.34
-13.55,-14.24
30.27,-60.58
83.21,94.27
-26.55,13.83
-78.86,31.3
92.71,-23.51
-9.18,40.07
91.18,-61.86
-13.46,67.87
29.88,-75.43
17.04,44.36
83.01,56.91
-64.88,-62.63
14.21,-67.35
-7.24,-62.08
84.82,4.79
-51.37,59.13
-5.84,34.72
87.07,-39.51
-72.9,41.61
95.42,72.28
5.55,-83.37
3.77,-64.04
-88.8,48.3
55.0,-6.49
-12.54,-4.34
-18.41,-5.46
-77.92,42.07
80.13,17.87
67.49,63.19
37.59,-87.99
-89.47,15.77
-83.32,-30.5
55.08,-55.3
36.93,58.74
-9.23,19.08
-45.46,-98.1
66.25,93.87
81.93,76.51
24.23,21.71
-87.56,67.8
35.88,-99.61
-95.14,64.04
-17.72,17.63
-8.81,50.5
91.91,-66.58
-96.27,-86.6
-38.14,-30.84
-19.41,-61.14
33.72,2.92
64.15,50.38
42.27,42.07
-97.08,14.87
-50.71,-62.37
27.38,-71.25
68.67,-4.66
-96.23,24.35
96.85,-53.81
-1.86,16.61
40.85,-89.01
61.55,9.81
64.91,12.53
17.95,99.24
-0.6,38.24
61.91,-14.94
81.05,-77.7
-2.31,-63.31
89.27,-26.51
-89.7,-69.86
-29.02,25.36
-53.47,-20.4
34.72,-58.82
-53.78,98.61
-54.67,-69.64
-25.41,20.72
87.69,-83.51
71.85,30.19
35.03,84.7
90.13,79.45
-86.8,-59.95
-11.42,78.53
-3.44,-38.42
79.38,6.07
-30.08,98.64
-59.76,73.86
-51.86,-47.8
28.0,96.19
-39.18,-75.08
-46.73,-65.86
-27.52,95.14
-54.12,91.24
70.57,-39.93
52.72,-29.9
-39.69,-22.95
27.41,73.76
84.88,60.78
-82.31,4.76
89.99,41.09
-66.45,-15.36
-94.04,-96.55
74.8,-68.57
4.5,6.02
-76.92,-6.6
-59.71,-22.02
15.18,-83.34
-42.0,63.48
-99.2,-30.87
-53.48,64.19
-78.25,-62.83
-41.83,41.91
-54.23,49.31
48.05,-43.11
39.47,22.62
93.66,98.59
83.16,1.41
-56.42,75.31
42.71,-46.74
27.4,-86.74
-62.7,-0.42
-34.43,-68.45
-25.68,19.05
-17.88,41.17
48.98,-2.24
90.51,-87.54
-6.43,-9.32
-3.96,92.87
35.97,32.2
-0.32,-35.41
-2.12,16.9
-15.55,99.24
-13.2,-33.95
-41.02,3.47
18.87,25.56
69.96,80.04
13.78,49.96
-32.04,-94.13
28.75,-82.84
80.97,84.16
84.73,-61.39
-55.96,-39.89
72.19,-93.48
-84.94,43.97
81.7,80.05
16.81,-12.47
-5.93,-51.43
-92.09,60.53
31.89,-59.09
40.54,53.88
-35.65,76.62
46.0,64.72
0.22,25.68
-96.08,34.53
-52.97,61.79
-69.9,-15.33
-53.95,-23.07
12.28,59.12
92.8,-51.45
7.13,-38.67
44.27,-6.21
14.15,31.23
-83.93,-46.53
-44.44,65.5
57.02,-57.92
-94.08,71.27
-37.5,-54.88
-8.59,1.57
13.62,-48.83
-56.6,6.8
25.11,34.69
-34.27,-74.07
76.94,-38.79
-51.37,-64.92
20.09,77.62
-59.32,44.55
-93.9,-65.58
80.89,-6.07
88.04,-32.74
-42.66,-94.07
97.34,-12.62
-1.09,68.0
45.86,-18.23
45.28,39.5
50.36,-85.09
-56.12,4.7
46.37,-11.62
4.73,-2.97
0.38,-55.13
-80.81,-27.59
53.97,35.07
-56.81,-23.85
19.39,-96.49
-30.13,-92.88
87.7,53.95
-5.46,61.98
-5.38,-39.3
66.72,-40.52
-17.9,-96.94
48.69,92.48
51.31,30.72
-44.92,70.13
-39.44,-28.75
88.62,54.38
-73.36,-71.7
48.27,35.85
57.01,83.43
78.52,3.97
-35.01,-45.04
48.81,6.65
-55.08,-13.98
41.52,68.29
-96.75,27.5
-35.49,-99.86
-76.72,70.42
-85.98,-29.51
36.4,-79.72
-66.13,-3.77
-61.62,0.69
60.64,27.6
-9.05,30.69
32.01,-21.63
-86.47,99.0
-26.62,98.09
-83.71,-56.93
-47.27,-69.54
-84.63,21.6
-39.97,89.95
97.79,80.38
99.03,2.65
-61.43,-93.12
-65.73,-76.69
-51.32,52.34
34.75,-73.51
6.96,25.35
90.37,-5.29
48.83,37.62
-52.53,46.97
87.1,76.9
11.2,-8.87
34.52,-46.91
8.9,-60.47
94.09,-78.39
65.49,9.75
-18.34,-12.36
-0.49,73.8
0.36,92.12
87.65,-52.23
-10.29,80.11
46.51,14.34
-57.65,-11.74
-32.07,-31.92
-7.38,89.31
-6.57,-87.58
-56.33,-47.46
27.41,18.88
-33.66,-87.88
8.74,49.33
19.78,78.64
49.73,64.78
35.09,-30.89
-64.58,-43.74
-73.97,-57.81
-22.47,85.4
39.91,-57.41
-85.51,-28.26
-48.65,78.53
-14.66,-62.14
-87.68,81.59
-61.85,-96.78
85.16,-26.52
-20.18,10.41
28.5,-23.99
77.91,-8.06
-38.42,-31.76
6.59,63.17
-70.86,-55.52
-73.7,-13.46
1.09,83.41
29.72,-48.51
-90.36,66.17
-59.08,28.74
-20.3,13.4
-86.84,93.11
80.55,18.72
79.63,72.17
43.39,82.77
45.11,24.19
30.93,-96.2
-54.82,83.74
50.02,-31.84
-19.01,-8.52
73.65,-14.88
76.94,-25.34
72.88,65.36
36.1,12.96
43.18,2.52
98.34,78.31
4.71,33.05
25.92,-55.66
10.26,51.12
78.32,64.25
-10.51,-22.23
-14.65,-26.34
55.51,9.03
-45.34,93.35
36.72,-12.77
-61.39,-43.3
-61.36,49.3
-24.42,70.46
-45.6,17.34
16.94,77.07
-24.34,-3.87
87.47,97.7
49.58,-80.02
-52.35,15.73
-23.87,-54.11
12.97,-25.27
-14.09,74.97
-63.29,-95.03
51.1,-13.07
-46.86,55.53
-50.38,-30.15
10.67,-97.56
-4.94,-16.76
46.84,56.13
-70.01,73.19
-1.93,56.34
23.7,82.99
28.74,37.59
-6.41,-85.76
2.56,21.55
-15.14,75.48
88.21,45.43
21.06,-0.92
-6.07,-82.55
87.12,2.8
-87.6,74.03
-94.96,49.02
-86.1,50.76
-89.09,81.06
58.61,65.65
-56.81,74.22
34.46,-59.83
